dataset,class,feature,coef,abs_coef
por,faible,risk_index,0.2556576294631225,0.2556576294631225
por,faible,absences,0.20315420012869886,0.20315420012869886
por,faible,Mjob_other,-0.19376129919404467,0.19376129919404467
por,faible,parent_edu_index,-0.13899417454368335,0.13899417454368335
por,faible,resource_ambition_count,-0.1098599964723261,0.1098599964723261
por,faible,Mjob_services,0.10759583509594332,0.10759583509594332
por,faible,age,-0.10542431701339738,0.10542431701339738
por,faible,address_U,-0.08610920076624298,0.08610920076624298
por,faible,health,0.07581878368428412,0.07581878368428412
por,faible,reason_other,-0.06897656079986768,0.06897656079986768
por,faible,alcohol_index,-0.030500587907776,0.030500587907776
por,faible,internet_yes,-0.004501253394382475,0.004501253394382475
por,faible,studytime,-0.0023672557027233773,0.0023672557027233773
por,faible,goout,5.4020009217329605e-05,5.4020009217329605e-05
por,moyen,schoolsup_yes,0.7147500305846246,0.7147500305846246
por,moyen,Mjob_health,-0.49905767171393184,0.49905767171393184
por,moyen,school_MS,-0.2821406195239775,0.2821406195239775
por,moyen,reason_home,0.27982765116004454,0.27982765116004454
por,moyen,higher_yes,-0.1524276033257689,0.1524276033257689
por,moyen,absences,-0.13372730055896279,0.13372730055896279
por,moyen,Mjob_services,-0.10510531121243978,0.10510531121243978
por,moyen,age,-0.10195554486038497,0.10195554486038497
por,moyen,parent_edu_index,-0.1017163519513401,0.1017163519513401
por,moyen,alcohol_index,0.09490547644841839,0.09490547644841839
por,moyen,resource_ambition_count,-0.09179945814198116,0.09179945814198116
por,moyen,address_U,-0.09089836926800639,0.09089836926800639
por,moyen,Mjob_teacher,0.09079769343971995,0.09079769343971995
por,moyen,Mjob_other,0.08636822850862341,0.08636822850862341
por,moyen,romantic_yes,-0.058599446495297844,0.058599446495297844
por,moyen,failures,-0.050093742665277226,0.050093742665277226
por,moyen,goout,0.046628392697922495,0.046628392697922495
por,moyen,internet_yes,0.04014161806210837,0.04014161806210837
por,moyen,reason_reputation,-0.03139741372711545,0.03139741372711545
por,moyen,health,0.028015122240206868,0.028015122240206868
por,moyen,sex_M,0.02604477803193266,0.02604477803193266
por,moyen,reason_other,-0.017612395112981783,0.017612395112981783
por,moyen,risk_index,-0.01191101813749588,0.01191101813749588
por,moyen,studytime,-0.011693894115011184,0.011693894115011184
